@workoutNumber,@workoutActivityType,@duration,@durationUnit,@totalDistance,@totalDistanceUnit,@totalEnergyBurned,@totalEnergyBurnedUnit,@sourceName,@sourceVersion,@creationDate,@startDate,@endDate
0,Running,30.41114684939384,min,1.6610099999998968,km,289.7239999999997,kcal,@DivyeshBC Watch 2.0,3.1,2017-01-09 21:18:46+01:00,2017-01-09 19:12:54+01:00,2017-01-09 21:18:39+01:00
1,Running,47.00274128317833,min,1.854529999999948,km,392.4069999999992,kcal,@DivyeshBC Watch 2.0,3.1,2017-01-16 20:05:28+01:00,2017-01-16 19:17:54+01:00,2017-01-16 20:04:54+01:00
2,Running,41.798697715997704,min,1.9812399999999109,km,356.4899999999996,kcal,@DivyeshBC Watch 2.0,3.1,2017-01-19 19:36:29+01:00,2017-01-19 18:54:26+01:00,2017-01-19 19:36:14+01:00
3,Running,42.98669135073821,min,2.140599999999795,km,389.16399999999885,kcal,@DivyeshBC Watch 2.0,3.1,2017-01-21 10:48:16+01:00,2017-01-21 10:05:00+01:00,2017-01-21 10:47:59+01:00
4,Running,35.05750849942366,min,1.2296800000001091,km,243.88899999999958,kcal,@DivyeshBC Watch 2.0,3.1,2017-02-06 20:43:18+01:00,2017-02-06 20:08:08+01:00,2017-02-06 20:43:11+01:00
5,Running,27.471575683355326,min,1.032189999999973,km,237.31700000000018,kcal,@DivyeshBC Watch 2.0,3.1,2017-02-09 19:53:13+01:00,2017-02-09 19:25:37+01:00,2017-02-09 19:53:05+01:00
6,Running,21.75153456727664,min,1.0624099999999599,km,173.5060000000002,kcal,@DivyeshBC Watch 2.0,3.1,2017-02-13 20:19:33+01:00,2017-02-13 19:50:11+01:00,2017-02-13 20:11:56+01:00
7,Running,32.84756951630116,min,1.611369999999646,km,264.7029999999999,kcal,@DivyeshBC Watch 2.0,3.1,2017-02-21 19:54:40+01:00,2017-02-21 19:21:41+01:00,2017-02-21 19:54:32+01:00
8,Running,39.353345282872525,min,2.0280499999996393,km,327.351,kcal,@DivyeshBC Watch 2.0,3.1,2017-02-22 20:10:53+01:00,2017-02-22 19:31:28+01:00,2017-02-22 20:10:49+01:00
9,Running,22.07183349927266,min,1.062040000000095,km,149.825,kcal,@DivyeshBC Watch 2.0,3.1,2017-02-24 21:17:04+01:00,2017-02-24 20:54:51+01:00,2017-02-24 21:16:55+01:00
10,Running,40.09046331644058,min,2.4392899999999793,km,333.7309999999999,kcal,@DivyeshBC Watch 2.0,3.1,2017-02-28 20:09:57+01:00,2017-02-28 19:29:47+01:00,2017-02-28 20:09:52+01:00
11,Running,32.42645271619161,min,1.781749999999913,km,251.1949999999997,kcal,@DivyeshBC Watch 2.0,3.1,2017-03-02 20:07:07+01:00,2017-03-02 19:34:30+01:00,2017-03-02 20:06:56+01:00
12,Running,30.16461881597837,min,1.842669999999751,km,233.66200000000006,kcal,@DivyeshBC Watch 2.0,3.1,2017-03-11 20:17:14+01:00,2017-03-11 19:46:58+01:00,2017-03-11 20:17:07+01:00
13,Running,30.895448733369513,min,1.850160000000469,km,264.6569999999998,kcal,@DivyeshBC Watch 2.0,3.1,2017-03-13 20:16:37+01:00,2017-03-13 19:45:37+01:00,2017-03-13 20:16:30+01:00
14,Running,21.58514311710993,min,1.4422400000002533,km,192.2269999999995,kcal,@DivyeshBC Watch 2.0,3.1,2017-03-14 20:25:42+01:00,2017-03-14 20:04:04+01:00,2017-03-14 20:25:39+01:00
15,Running,25.2676885664463,min,1.707520000000193,km,211.66400000000002,kcal,@DivyeshBC Watch 2.0,3.1,2017-03-22 19:57:58+01:00,2017-03-22 19:32:33+01:00,2017-03-22 19:57:49+01:00
16,Running,29.84514686663946,min,2.0020399999985243,km,242.1509999999998,kcal,@DivyeshBC Watch 2.0,3.1,2017-04-11 09:24:36+01:00,2017-04-11 08:54:35+01:00,2017-04-11 09:24:26+01:00
17,Running,52.38771433333556,min,3.145089999998337,km,428.9029999999996,kcal,@DivyeshBC Watch 2.0,3.1,2017-04-15 11:55:16+01:00,2017-04-15 11:02:47+01:00,2017-04-15 11:55:10+01:00
18,Running,26.26815518339475,min,1.6439999999978459,km,209.0859999999998,kcal,@DivyeshBC Watch 2.0,3.1,2017-04-24 19:19:26+01:00,2017-04-24 18:53:03+01:00,2017-04-24 19:19:19+01:00
19,Running,29.80454191664855,min,1.8997399999994093,km,245.5049999999999,kcal,@DivyeshBC Watch 2.0,3.1,2017-04-26 19:33:28+01:00,2017-04-26 19:03:36+01:00,2017-04-26 19:33:24+01:00
20,Running,32.25617601672808,min,1.545139999998966,km,287.1730000000003,kcal,@DivyeshBC Watch 2.0,3.1,2017-05-30 20:06:54+01:00,2017-05-30 19:33:54+01:00,2017-05-30 20:06:09+01:00
21,Running,31.333484833439194,min,1.377119999999355,km,251.86599999999993,kcal,@DivyeshBC Watch 2.0,3.1,2017-06-10 10:39:17+01:00,2017-06-10 10:07:51+01:00,2017-06-10 10:39:11+01:00
22,Running,34.07924509942531,min,1.727049999998999,km,234.1839999999998,kcal,@DivyeshBC Watch 2.0,3.1,2017-07-11 20:07:56+01:00,2017-07-11 19:33:46+01:00,2017-07-11 20:07:51+01:00
23,Walking,32.084018299976975,min,2.194316219972447,km,115.61100000000009,kcal,@DivyeshBC Watch 2.0,3.1,2017-07-17 19:37:54+01:00,2017-07-17 19:05:44+01:00,2017-07-17 19:37:49+01:00
24,Running,35.574061699708295,min,1.6661836194863429,km,275.62200000000007,kcal,@DivyeshBC Watch 2.0,3.1,2017-07-21 19:43:40+01:00,2017-07-21 19:07:58+01:00,2017-07-21 19:43:32+01:00
25,Running,31.40930068393548,min,1.48351275980752,km,216.5289999999998,kcal,@DivyeshBC Watch 2.0,3.1,2017-07-24 19:43:34+01:00,2017-07-24 19:12:06+01:00,2017-07-24 19:43:31+01:00
26,Running,32.4289245168368,min,1.8419252658265761,km,251.99200000000008,kcal,@DivyeshBC Watch 2.0,3.1,2017-07-27 19:07:11+01:00,2017-07-27 18:32:03+01:00,2017-07-27 19:04:29+01:00
27,Running,38.33082583347957,min,1.948212049752765,km,344.9799999999996,kcal,@DivyeshBC Watch 2.0,3.1,2017-08-04 19:07:59+01:00,2017-08-04 18:29:33+01:00,2017-08-04 19:07:53+01:00
